,id,rank,Country,Continent,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalTests,Deaths_1M_pop
0,63492a0f-56d7-4c00-9ac1-d64fd5414029,0,Total:,All,1.1,0.0,94.84,0,823.5
1,40f44943-8413-4a31-a4df-deee8111f85f,0,World,All,1.1,0.0,94.84,0,823.5
2,be02608d-a52f-4586-ae9b-220dee7daaf1,1,USA,North America,1.13,0.0,94.66,1068778112,0.0
3,f6ecf8d7-5867-42dc-9290-24fda4cb14f0,2,India,Asia,1.2,62.15,98.48,875207621,374.0
4,911f9162-c39d-4e1c-9768-4d147cce2604,3,France,Europe,0.45,414.03,95.16,271490188,2318.0
5,338a3103-483a-4292-9559-1aac2ed47a90,4,Brazil,South America,2.01,29.57,95.51,63776166,3146.0
6,4be614b7-9865-4e78-a841-7dca20abd314,5,Germany,Europe,0.47,145.05,93.61,122332384,1707.0
7,6b196012-2ecd-45e8-aac2-9379e5300894,6,UK,Europe,0.79,761.42,97.25,522526476,2681.0
8,55dd283b-20e8-49ac-96f9-774f05abdfa9,7,Italy,Europe,0.82,393.14,93.05,236973591,2854.0
9,bc4902f3-885b-4666-bbae-a159b53c831b,8,S. Korea,Asia,0.13,30.77,93.94,15804065,488.0
10,8d1ed383-8d38-4bf0-9931-ed46922de1a4,9,Russia,Europe,2.06,187.18,96.67,273400000,2618.0
11,a30588f4-4e4b-4e3b-92b2-1baeb341682e,10,Turkey,Asia,0.63,188.75,97.47,162743369,1152.0
12,63ceffad-0f5b-4c16-9ac6-9a3e037159ab,11,Spain,Europe,0.84,1006.65,95.34,471036328,2366.0
13,905d7fab-0083-4209-8a10-61f8b3e74994,12,Japan,Asia,0.26,49.85,85.28,62646891,259.0
14,de1a2462-a817-4b62-839f-9c0f5f717eda,13,Vietnam,Asia,0.4,86.56,91.9,85826548,435.0
15,7b0615b0-8cf9-43f0-82a9-55f99f273ff2,14,Argentina,South America,1.36,77.55,97.69,35716069,2807.0
16,16766eed-520b-48d0-b7a1-f268b1b95520,15,Australia,Australia/Oceania,0.13,292.3,95.67,76329379,454.0
17,7d4fc69a-8af7-4d94-8b6e-61be6d099a90,16,Netherlands,Europe,0.27,122.62,97.96,21107399,1307.0
18,fa5c2b0a-f283-406a-9d80-2ec4c1309a62,17,Iran,Asia,1.92,61.59,95.91,53103026,1646.0
19,6d301ced-1214-48a3-952e-ffc655c8c284,18,Mexico,North America,4.85,13.41,86.79,17666519,2488.0
20,f90f48b5-e45e-4039-b963-64af3ef07a1c,19,Colombia,South America,2.25,69.21,97.03,35992047,2708.0
21,2ff2436f-a569-44bf-ba29-083ad4f81f70,20,Indonesia,Asia,2.53,37.05,96.68,103563868,562.0
22,6450f181-d69f-44f8-9707-e16ef455de60,21,Poland,Europe,1.92,97.09,87.92,36661293,3087.0
23,9fb86a08-d197-4fcb-b08a-bebbe5f6c642,22,Portugal,Europe,0.46,429.47,96.78,43527258,2426.0
24,6c1e2aef-eb2e-4cf7-9382-ed1358459d13,23,Ukraine,Europe,2.16,45.2,97.75,19521252,2517.0
25,3648e894-a54c-41c8-8abf-4994e7b2b79c,25,Austria,Europe,0.4,2122.2,97.27,193394168,2095.0
26,e104cdc2-f1cc-45de-a101-fc1d50310e23,26,Malaysia,Asia,0.77,187.91,98.23,62434219,1082.0
27,b012c316-0e20-4bfe-9ce2-edf9dcca2f0b,27,Thailand,Asia,0.68,24.62,98.81,17270775,447.0
28,d16f103a-0088-436d-bac6-0a29535520f9,28,Israel,Asia,0.25,443.63,98.8,41373364,1218.0
29,0a14bd04-b96e-4afb-b4bf-8a4657740ccd,29,Taiwan,Asia,0.19,94.95,89.18,22698840,372.0
30,fe31ac25-e0fe-49e9-a802-f00e0ed703d4,30,Belgium,Europe,0.73,299.27,95.46,34997435,2756.0
31,311c2c2c-2484-42eb-a30b-e163a001a74e,31,Greece,Europe,0.71,857.93,96.61,88517545,3004.0
32,4a532c8d-46b7-45ea-b6a4-eb4966239356,32,Chile,South America,1.41,215.87,92.86,42000981,3061.0
33,e25f14b6-e3e8-4944-bef8-81d695a18188,33,Canada,North America,1.09,162.87,92.11,62586673,1134.0
34,d2c89dbe-ab3b-4178-8d7d-1c908d7471c8,34,South Africa,Africa,2.55,42.68,97.33,25975203,1676.0
35,05633ff1-5dc7-49f6-b72a-2052c46ec3e1,35,Czechia,Europe,1.02,518.53,98.41,55743173,3764.0
36,1653a805-d080-4261-8e3f-dd2c7fef64bf,36,Switzerland,Europe,0.36,248.25,95.29,21810511,1599.0
37,c5905947-ac1b-4bbb-8985-e794bb6ab6c3,37,Peru,South America,5.5,97.29,90.76,33003706,6314.0
38,f0e6ea86-a22d-405c-a0c7-63dbb2a2c03f,38,Philippines,Asia,1.61,27.95,97.5,31470492,539.0
39,9aa3efef-70e8-4d44-bb06-5113e05a298a,39,Denmark,Europe,0.22,2193.15,99.13,127958416,1138.0
40,4a525969-421a-4975-ae32-bfca080f31ec,40,Romania,Europe,2.16,126.72,94.53,24041083,3478.0
41,1846091c-6ef4-4641-8231-afcf4a6a77b6,41,Sweden,Europe,0.76,183.32,98.43,18753727,1889.0
42,7d322f05-e02b-40f5-bd69-577adea222a3,42,Iraq,Asia,1.04,45.3,97.71,19066348,601.0
43,cc09f3b8-9fd0-44ca-859c-ad9524bf9f28,43,Serbia,Europe,0.77,117.92,95.66,10217296,1878.0
44,c41513ff-6514-470a-b9f1-ff13a051cad2,44,Bangladesh,Asia,1.46,8.69,96.84,14602917,174.0
45,d1e5413c-287a-449f-bd0d-6bfc56d0b365,45,Hungary,Europe,2.38,118.58,96.17,11394556,4869.0
46,785cd61b-3f21-4b2c-958a-ea07ecdad12c,46,Slovakia,Europe,1.11,132.21,98.24,7225203,3700.0
47,802162af-bec2-4b62-849e-4ecbf1d9c380,47,Jordan,Asia,0.82,163.08,98.95,16981984,1352.0
48,f7c6cb29-752b-4f13-b419-813680ad7e12,48,Singapore,Asia,0.09,408.12,94.33,24265502,252.0
49,81672076-33c2-48e4-81d2-db6ce456cc78,49,Georgia,Asia,1.01,425.84,97.73,16920079,4242.0
50,aed73591-ee4f-4d22-a0f3-3d025d0b7821,50,Ireland,Europe,0.46,248.15,97.14,12536820,1512.0
51,ff0aaa9f-fc0e-4469-a70f-cece3c15fbb2,51,New Zealand,Australia/Oceania,0.14,147.67,96.66,7386548,437.0
52,935ff8a6-77f1-4114-9403-9cbb7fa9cb99,52,Pakistan,Asia,1.96,12.86,97.42,29553485,133.0
53,4d14f059-2c26-4982-8132-fcc9a3e1deb3,53,Norway,Europe,0.25,199.71,99.51,11002430,658.0
54,d1fc1231-ca5a-4f3c-b4cb-4770cdf15a98,54,Kazakhstan,Asia,1.01,60.15,97.06,11575012,710.0
55,5de37feb-3a9b-42d2-8c09-345c543829a7,55,Hong Kong,Asia,0.7,713.0,90.76,54352132,1246.0
56,75159d96-aba5-49fc-96a1-34fa22ef4770,56,Morocco,Africa,1.29,32.34,98.31,12230925,429.0
57,a2f0283a-7995-4463-889c-5bfef1e7796d,57,Bulgaria,Europe,3.1,150.01,94.91,10261133,5464.0
58,28cc8b8a-2bf8-43a0-935a-02226843eecb,58,Croatia,Europe,1.37,124.52,97.75,5046775,4022.0
59,49bd08ef-9b3b-49c0-b8e6-fa7816ff0700,59,Lebanon,Asia,0.9,70.92,92.78,4795578,1557.0
60,dc7c0e8c-ad34-446d-a695-59fe62ef8c2d,60,Finland,Europe,0.43,200.23,97.4,11129795,902.0
61,eea4bad6-f826-4771-b1e4-d43b3124a0de,61,Tunisia,Africa,2.57,40.09,0.0,4840957,2405.0
62,e3509c74-070d-4629-b48e-478afa585c60,62,Cuba,North America,0.77,123.74,99.18,13997964,754.0
63,1fe0506d-1912-462f-880b-04c8ebeae16c,63,Lithuania,Europe,0.85,414.42,95.7,10955805,3483.0
64,b9e72506-ad28-4266-8ab3-57bbb16ae65d,64,Slovenia,Europe,0.62,129.96,97.29,2702594,3219.0
65,c2273b77-1484-454b-a2a4-42478d4847df,65,Guatemala,North America,1.83,28.6,92.12,5320919,1023.0
